col1	col2
-349	-9275
1049	-9247
53	-8878
1147	-9792
189	-9657
-79	-9611
-517	-8486
851	-10029
922	-10246
222	-9381
228	-9428
194	-9383
187	-9385
-372	-9334
-553	-9242
1139	-9257
-70	-8899
1507	-10295
-414	-9708
116	-9761
704	-9579
839	-10467
169	-9397
165	-9454
160	-9359
120	-9376
54	9401
-476	-9452
1254	-9309
-146	-9191
1732	-11032
2835	-11232
2755	-11337
-710	-9781
243	-9888
-571	-7896
172	-10605
122	-9405
101	-9480
231	-9487
-3	-9311
83	-9102
-131	-9392
-121	-9432
-121	-9427
-406	-9853
1454	-9387
-244	-9417
1358	-11347
3344	-11509
-944	-9838
597	-10226
-471	-7314
64	-10756
77	-9401
36	-9515
577	-9624
-283	-9208
-50	-9020
-260	-9483
-201	-9449
-207	-9433
-437	-10130
1772	-9356
-168	-9483
791	-11688
3750	-11877
-1125	-10006
1336	-10770
559	-10949
37	9381
-31	-9558
1168	-9629
-606	-8941
-264	-9431
-373	-9442
-280	-9472
-238	-9558
-535	-10487
2057	-9406
1507	-10295
-414	-9708
116	-9761
704	-9579
839	-10467
169	-9397
165	-9454
160	-9359
120	-9376
54	9401
